Meter identifier,Aerial_info,dc_day,dc_month,dc_week,latitude,longitude
M36995,No Aerial,100,100.0115741,100.0496032,-37.397064,175.130625
M56065,No Aerial,100,100,100,-37.616549,175.271985
M44917,No Aerial,100,100.0115741,100,-37.403716,175.128001
M19475,No Aerial,100,100,100,-37.830117,175.020743
M59373,No Aerial,100,100.0115741,100,-37.809339,175.200932
M20656,No Aerial,100,100,100,-37.792952,175.138088
M36082,No Aerial,100,100.0115741,100,-37.430759,175.134395
M20842,No Aerial,100,99.86111111,100.0496032,-37.354049,175.062753
M36828,No Aerial,100,100,100.0496032,-37.620816,175.332034
M19076,No Aerial,100,100,100,-37.795466,175.246147
M44989,No Aerial,100,99.98842593,100,-37.809763,175.135915
M32500,No Aerial,100,100,100,-37.812725,174.919315
M52687,No Aerial,100,99.91898148,100.0496032,-37.208627,175.292107
M57284,No Aerial,100,99.14351852,100.0496032,-37.65269796,175.2735177
M44221,No Aerial,100,100,100.0496032,-37.862651,175.193353
M62378,No Aerial,100,100.0115741,100,-37.610611,175.030832
M17455,No Aerial,100,100.0115741,99.95039683,-37.796677,175.137687
M56154,No Aerial,0,0,0,-37.531672,175.189244
M35361,No Aerial,100,100,100,-37.564239,175.151594
M40967,Aerial Installed - Enabled,77.08333333,70.59027778,67.36111111,-37.677944,174.853773
M39480,No Aerial,100.3472222,99.09722222,100.0496032,-37.550664,175.070889
M63021,No Aerial,100,100.0231481,100,-37.794827,175.165455
M37006,No Aerial,0,0,0,-37.626066,175.186434
M51768,No Aerial,100,100.0115741,100,-37.586264,175.16004
M56418,No Aerial,100,100.0115741,100,-37.814431,174.966248
M6311,No Aerial,0,0,0,-37.883465,175.0286
M15564,No Aerial,100,100,100,-37.879428,174.877768
M11165,No Aerial,100,100,100,-37.880402,174.878309
M31004,No Aerial,100,100.0115741,100,-37.649368,175.221203
M17468,No Aerial,100,100,100,-37.501174,175.256334
M2232,No Aerial,100,99.98842593,99.95039683,-37.410988,175.070156
M16342,No Aerial,100,100,100,-37.558169,175.161399
M54719,No Aerial,100,100,100,-37.880024,174.878888
M30664,No Aerial,100,100,100,-37.818628,175.215906
M60079,Aerial Installed - Enabled,0,0,0,-37.688354,175.003193
M13777,No Aerial,100,100.0231481,100,-37.60976914,175.1802095
M57061,No Aerial,100,100,100,-37.390075,175.157378
M59285,No Aerial,100,99.98842593,100,-37.547641,175.277372
M36609,No Aerial,100,100,100,-37.819975,175.192703
M20033,No Aerial,96.875,87.90509259,90.27777778,-37.720518,174.841267
M2015,Aerial Installed - Enabled,100,100.0115741,100,-37.546976,174.96324
M48938,No Aerial,100,99.9537037,100,-37.383343,175.291512
M43499,No Aerial,0,0,0,-37.738942,174.869619
M24583,No Aerial,100,99.98842593,99.95039683,-37.39429,175.070605
M50013,No Aerial,100,100.0462963,100.0992063,-37.890634,175.2025
M46775,No Aerial,100,100,100,-37.613397,175.311525
M282,No Aerial,100,100,100,-37.39405,175.157281
M69572,No Aerial,100.3472222,100.0231481,100.0496032,-37.397916,175.122732
M9027,No Aerial,99.65277778,99.98842593,100,-37.537347,175.024836
M7913,No Aerial,100,100.0115741,100,-37.794279,175.234607
M36905,No Aerial,99.65277778,99.83796296,99.95039683,-37.356324,175.065054
M35476,No Aerial,100,99.84953704,100.0496032,-37.359119,175.09217
M67684,No Aerial,100,99.9537037,100,-37.368628,175.269452
M5601,No Aerial,98.95833333,99.3287037,99.85119048,-37.686709,175.115389
M64652,No Aerial,100.3472222,100.0115741,100.0496032,-37.619453,175.176312
M47757,No Aerial,100.3472222,100,100.0992063,-37.64885,175.298141
M28859,Aerial Installed - Enabled,78.81944444,98.03240741,94.64285714,-37.452471,175.044487
M20055,No Aerial,100,99.98842593,100,-37.862936,175.149945
M18728,No Aerial,0,0,0,-37.577848,175.143152
M5171,No Aerial,100,100.0347222,100,-37.389843,175.158252
M2009,No Aerial,100,99.87268519,100,-37.883217,174.850201
M5910,No Aerial,100,98.51851852,100,-37.620807,175.032741
M2267,No Aerial,100,100.0115741,100,-37.860111,174.924325
M45951,No Aerial,100,99.98842593,100,-37.852894,174.83308
M34312,No Aerial,100,98.40277778,99.95039683,-37.673371,175.136884
M27006,No Aerial,100,100.0115741,100,-37.826497,174.96525
M14063,No Aerial,100,100.0115741,100,-37.793854,175.16154
M24779,No Aerial,100,99.93055556,99.95039683,-37.209981,175.275548
M39524,No Aerial,100,100,100,-37.690438,175.314495
M10805,No Aerial,67.70833333,83.68055556,59.72222222,-37.368612,175.101462
M30343,No Aerial,100,99.98842593,100,-37.485792,175.331438
M66331,No Aerial,100.3472222,100.0347222,100.0496032,-37.80074,175.18566
M42193,No Aerial,0,0,0,-37.803569,175.181303
M15262,No Aerial,100,100,99.95039683,-37.800279,175.192995
M66761,No Aerial,100,100.0347222,100.0992063,-37.77856,175.172132
M44781,No Aerial,100,100.0231481,100.0496032,-37.68942,175.309905
M48916,No Aerial,0,0,0,-37.646522,175.055939
M51390,Aerial Installed - Enabled,0,0,0,-37.893722,174.778073
M33856,No Aerial,100,100.0115741,100,-37.409982,175.119561
M37472,No Aerial,100,100,100,-37.70717,175.147065
M34624,No Aerial,100,100.0115741,100.0992063,-37.622386,175.367327
M19889,No Aerial,100,100.0231481,100,-37.395003,175.125513
M12831,No Aerial,100.3472222,100.0462963,100.1488095,-37.452806,175.046621
M22827,No Aerial,100,100.0115741,100.0496032,-37.560611,175.283325
M49924,No Aerial,100,100.0115741,100,-37.535276,175.345824
M16584,No Aerial,100,100,100,-37.49101,175.157142
M63979,No Aerial,100,100,100,-37.617801,175.030223
M35558,No Aerial,100,100,100,-37.410737,175.070942
M48179,Aerial Installed - Enabled,0,40.37037037,38.29365079,-37.851827,175.201521
M27158,No Aerial,100,100,100,-37.693671,174.994718
M22598,No Aerial,100,99.98842593,100,-37.819097,175.216514
M40560,No Aerial,100,99.30555556,100.0496032,-37.810961,175.23502
M58937,No Aerial,100,100.0231481,100,-37.832299,175.196691
M55158,No Aerial,100,100,99.90079365,-37.793635,175.139274
M23172,Aerial Installed - Enabled,100,100.0115741,99.95039683,-37.582295,175.105643
M35929,No Aerial,100,100.0231481,100.0992063,-37.800079,175.190206
M50385,No Aerial,100,100.0115741,100,-37.808602,175.224367
M14633,No Aerial,100,91.30787037,100,-37.853823,174.833664
M67816,No Aerial,100,99.98842593,100,-37.482097,175.154501
M4291,No Aerial,100.3472222,100.0231481,100.0496032,-37.820684,175.209714
M68293,No Aerial,100,100.0231481,100,-37.795853,175.137618
M39588,No Aerial,100,100,100,-37.679373,175.156184
M64493,No Aerial,100,99.98842593,100,-37.680201,175.157694
M37396,No Aerial,100,100,100,-37.546958,175.174171
M15244,No Aerial,100,100,100,-37.820295,175.218898
M47454,No Aerial,100,100.0115741,100,-37.403696,175.138383
M58070,No Aerial,100,99.98842593,99.95039683,-37.398069,175.148468
M44696,No Aerial,100,100,100,-37.820307,175.222977
M32115,No Aerial,100,99.97685185,100,-37.404264,175.139359
M6813,No Aerial,100,100,99.95039683,-37.675273,175.145283
M33188,No Aerial,100,99.98842593,100,-37.666723,175.151113
M42337,No Aerial,100,100,100,-37.817214,175.215446
M27014,No Aerial,100,99.94212963,99.95039683,-37.564329,175.163969
M35428,No Aerial,100,100.0115741,100.0496032,-37.564284,175.162696
M5796,No Aerial,100,99.97685185,99.95039683,-37.559284,175.144612
M38835,No Aerial,100.3472222,99.97685185,100,-37.559386,175.169135
M5377,No Aerial,100,99.98842593,100,-37.563775,175.162753
M33269,No Aerial,100,100,100,-37.564357,175.164388
M17438,No Aerial,100,99.98842593,100,-37.563635,175.163366
M39905,No Aerial,100,99.97685185,100,-37.673495,175.158907
M4863,No Aerial,100,100.0115741,100,-37.5461,175.174171
M1646,No Aerial,100,99.97685185,100,-37.39883,175.148761
M55899,No Aerial,99.65277778,100,99.95039683,-37.61973179,175.187252
M38894,No Aerial,100,100.0462963,100,-37.665846,175.142846
M6998,No Aerial,100,100.0347222,99.95039683,-37.666696,175.144673
M67962,No Aerial,100,100,100,-37.545597,175.173591
M34216,No Aerial,100,99.9537037,99.95039683,-37.545122,175.173939
M17487,No Aerial,100,99.97685185,100,-37.545107,175.173757
M68285,No Aerial,100,100.0347222,100,-37.546251,175.174764
M68034,No Aerial,100,100.0115741,100.0496032,-37.545308,175.173594
M36948,No Aerial,100,99.97685185,99.95039683,-37.546153,175.173245
M58902,No Aerial,100,100.0115741,100,-37.546308,175.1736
M53029,No Aerial,100,100,100,-37.54613,175.173504
M17828,No Aerial,100,99.98842593,99.95039683,-37.564786,175.150827
M35955,No Aerial,100,100.0115741,100,-37.397303,175.150468
M64808,No Aerial,100,99.96527778,100,-37.396473,175.150004
M18706,No Aerial,100,99.98842593,100,-37.3964,175.149562
M67810,No Aerial,100,100,100,-37.396497,175.1497
M58912,No Aerial,100,99.97685185,100.0496032,-37.396919,175.150243
M65573,No Aerial,99.65277778,99.98842593,99.95039683,-37.397079,175.150372
M9365,No Aerial,100,100.0115741,100,-37.39986,175.146601
M52952,No Aerial,100,99.98842593,100,-37.398707,175.147997
M16132,No Aerial,100,100.0231481,100,-37.799717,175.24296
M10379,No Aerial,100,99.96527778,99.90079365,-37.399573,175.147551
M19725,No Aerial,100,100,100,-37.399701,175.146967
M1266,No Aerial,100,99.98842593,100,-37.396866,175.148705
M65353,No Aerial,100,100.0115741,100,-37.546264,175.161554
M14676,No Aerial,100,99.9537037,100,-37.55568,175.161398
M44048,No Aerial,100,100,100,-37.546299,175.174109
M15773,No Aerial,100,100.0462963,100.0496032,-37.546112,175.1745
M41778,No Aerial,100,99.9537037,99.90079365,-37.546352,175.174643
M9921,No Aerial,100,99.97685185,100,-37.397684,175.148841
M48098,No Aerial,100,100.0115741,99.95039683,-37.397688,175.148616
M13941,No Aerial,100,100.0115741,100,-37.403761,175.150653
M50216,No Aerial,100,100.0231481,100.0992063,-37.397885,175.149661
